Match ID,Date,City,Venue,Teams,Winner,Result Type,Result Margin,Overs,Toss Winner,Toss Decision,Player of Match,Umpires,Match Referee,Match Type,Gender
401074,2009-07-28,Dominica,"Windsor Park, Roseau","West Indies, Bangladesh",Bangladesh,normal,3 wickets,50,West Indies,bat,Shakib Al Hasan,"BR Doctrove, AL Hill",RS Mahanama,ODI,male
401075,2009-07-31,St Kitts,"Warner Park, Basseterre","West Indies, Bangladesh",Bangladesh,normal,3 wickets,50,West Indies,bat,Mahmudullah,"CR Duncan, AL Hill",RS Mahanama,ODI,male
403370,2009-07-30,Null,Rangiri Dambulla International Stadium,"Sri Lanka, Pakistan",Sri Lanka,normal,36 runs,50,Pakistan,field,M Muralitharan,"SJ Davis, EAR de Silva",AG Hurst,ODI,male
403371,2009-08-01,Null,Rangiri Dambulla International Stadium,"Sri Lanka, Pakistan",Sri Lanka,normal,6 wickets,50,Sri Lanka,field,CK Kapugedera,"SJ Davis, HDPK Dharmasena",AG Hurst,ODI,male
403372,2009-08-03,Null,Rangiri Dambulla International Stadium,"Sri Lanka, Pakistan",Sri Lanka,normal,6 wickets,50,Sri Lanka,field,DPMD Jayawardene,"SJ Davis, EAR de Silva",AG Hurst,ODI,male
403373,2009-08-07,Colombo,R Premadasa Stadium,"Sri Lanka, Pakistan",Pakistan,normal,146 runs,50,Pakistan,bat,Umar Akmal,"SJ Davis, MG Silva",AG Hurst,ODI,male
403374,2009-08-09,Colombo,R Premadasa Stadium,"Sri Lanka, Pakistan",Pakistan,normal,132 runs,50,Pakistan,bat,Naved-ul-Hasan,"SJ Davis, MG Silva",AG Hurst,ODI,male
403380,2009-09-08,Colombo,R Premadasa Stadium,"Sri Lanka, New Zealand",Sri Lanka,normal,97 runs,50,Sri Lanka,bat,TT Samaraweera,"EAR de Silva, BR Doctrove",BC Broad,ODI,male
403381,2009-09-12,Colombo,R Premadasa Stadium,"Sri Lanka, India",Sri Lanka,normal,139 runs,50,Sri Lanka,bat,AD Mathews,"HDPK Dharmasena, BR Doctrove",BC Broad,ODI,male
403382,2009-09-11,Colombo,R Premadasa Stadium,"India, New Zealand",India,normal,6 wickets,50,New Zealand,bat,A Nehra,"HDPK Dharmasena, BR Doctrove",BC Broad,ODI,male
403383,2009-09-14,Colombo,R Premadasa Stadium,"Sri Lanka, India",India,normal,46 runs,50,India,bat,SR Tendulkar,"EAR de Silva, BR Doctrove",BC Broad,ODI,male
406192,2010-02-07,Melbourne,Melbourne Cricket Ground,"Australia, West Indies",Australia,normal,113 runs,50,West Indies,field,SR Watson,"BF Bowden, BNJ Oxenford",J Srinath,ODI,male
406193,2010-02-09,Adelaide,Adelaide Oval,"Australia, West Indies",Australia,normal,8 wickets,50,West Indies,bat,DE Bollinger,"BF Bowden, BNJ Oxenford",J Srinath,ODI,male
