Match ID,Date,City,Venue,Teams,Winner,Result Type,Result Margin,Overs,Toss Winner,Toss Decision,Player of Match,Umpires,Match Referee,Match Type,Gender
1359787,2023-02-22,Buenos Aires,"Belgrano Athletic Club Ground, Buenos Aires","Bermuda, Argentina",Bermuda,normal,107 runs,20,Argentina,field,Null,"Emmerson Carrington, N Duguid",Reon King,T20,male
1359788,2023-02-28,Buenos Aires,"St Albans Club, Buenos Aires","Cayman Islands, Bahamas",Cayman Islands,normal,31 runs,20,Cayman Islands,bat,YSD Seneveratne,"Emmerson Carrington, SN Bandekar",Reon King,T20,male
1359789,2023-02-28,Buenos Aires,"Belgrano Athletic Club Ground, Buenos Aires","Bermuda, Panama",Bermuda,normal,60 runs,20,Bermuda,bat,KS Leverock,"N Duguid, Vijaya Mallela",Reon King,T20,male
1359792,2023-02-26,Buenos Aires,"Hurlingham Club Ground, Buenos Aires","Panama, Bahamas",Bahamas,normal,4 wickets,20,Panama,bat,M Taylor,"Emmerson Carrington, N Duguid",Reon King,T20,male
1359793,2023-02-26,Buenos Aires,"Belgrano Athletic Club Ground, Buenos Aires","Bermuda, Argentina",Bermuda,normal,110 runs,20,Bermuda,bat,DMW Rawlins,"AR Maddela, Vijaya Mallela",Reon King,T20,male
1359794,2023-02-25,Buenos Aires,"Hurlingham Club Ground, Buenos Aires","Panama, Argentina",Panama,normal,53 runs,20,Argentina,field,Null,"AR Maddela, Jermaine Lindo",Reon King,T20,male
1359795,2023-02-25,Buenos Aires,"St Albans Club, Buenos Aires","Bermuda, Cayman Islands",Bermuda,normal,96 runs,20,Bermuda,bat,KS Leverock,"N Duguid, SN Bandekar",Reon King,T20,male
1359798,2023-03-02,Buenos Aires,"St Albans Club, Buenos Aires","Argentina, Bahamas",Argentina,normal,43 runs,20,Argentina,bat,LA Musiani,"Emmerson Carrington, Jermaine Lindo",Reon King,T20,male
1359799,2023-03-02,Buenos Aires,"Hurlingham Club Ground, Buenos Aires","Cayman Islands, Panama",Cayman Islands,normal,12 runs,20,Cayman Islands,bat,RA Sealy,"AR Maddela, N Duguid",Reon King,T20,male
1359800,2023-03-04,Buenos Aires,"Hurlingham Club Ground, Buenos Aires","Bahamas, Bermuda",Bermuda,normal,9 wickets,20,Bermuda,field,KS Leverock,"SN Bandekar, Vijaya Mallela",Reon King,T20,male
